requests_per_minute,failed_attempts,data_accessed_mb,unique_endpoints,login_time_seconds,is_anomaly
5,0,1.369014992848887,4,1.543951939462321,0
4,0,0.246870590376122,1,0.8588559050984821,0
11,2,449.68900987407034,14,0.0701841056106059,1
191,12,0.7990874274739604,1,0.07806381921023074,1
30,9,24.50913757517204,15,0.2722218560009074,1
235,6,8.575510255702085,2,0.0281600648478446,1
8,0,0.9246261066473598,4,1.7969765543584153,0
2,0,3.5118150018028853,4,1.602580404370404,0
7,1,2.366420109052425,1,0.6558534062781036,0
26,2,305.0010595081327,14,0.25665794491863114,1
15,9,21.628654855960136,10,0.26413430593698173,1
9,0,2.4499522985958264,4,1.8427663545463695,0
274,21,5.69166442888725,2,0.04428518239425129,1
9,1,0.5493267420460077,3,1.5533925056926754,0
10,0,316.27939065796414,11,0.16849210268894005,1
3,0,3.3339218255674776,2,2.955420858323589,0
4,1,1.3250806011589131,4,1.3520088506325445,0
5,0,0.6223058485091546,4,0.8982186131070129,0
121,10,0.3895904253277931,1,0.07634622025065188,1
31,6,17.537886536993344,13,0.11261697469812475,1
5,1,3.452741829909569,3,2.2081587970636454,0
198,13,0.37811058510827333,1,0.020958572001274732,1
8,2,147.33447636935495,9,0.49600689431958667,1
8,0,2.511369836089737,4,0.6655899446296647,0
6,0,4.019588818328628,3,2.7186512062837576,0
22,2,410.244740370131,6,0.13802417287003177,1
1,1,1.554659445345376,3,0.514396651245304,0
1,0,2.31179641921541,3,1.8175602405296551,0
32,15,0.2978609800485461,2,0.060533612916357143,1
16,0,295.02847746935373,11,0.07092526389802947,1
37,11,18.799757553018026,16,0.061514183547489096,1
6,0,3.4938671659082066,3,2.946578218501326,0
3,0,1.950871542263845,1,1.7631309311196428,0
165,11,1.0022844326618154,2,0.03111778736699082,1
2,1,0.4548397335170734,1,0.7196662478620834,0
3,0,4.861389267406608,3,2.4019626215422436,0
61,19,0.39761303025023575,2,0.04044407553950486,1
6,1,1.9825889737581779,3,0.6136159508536447,0
8,1,2.2872063679116694,3,2.6706782012831467,0
9,0,3.0938068453698597,2,1.4019312977764995,0
131,14,6.272783096081673,2,0.012871032249060521,1
57,10,0.4308077371347603,1,0.05946544393470321,1
15,6,18.458298581392835,6,0.26629833684945275,1
1,0,3.4302716851960424,4,2.8910392438985624,0
9,1,1.8817850516585408,1,1.1347885348358617,0
6,0,0.7864116746589678,3,1.238226471047347,0
1,0,1.771225120146267,1,1.022679051844284,0
15,0,471.7706777892456,4,0.22544255882369485,1
6,1,2.4044731087855884,2,2.083824276902237,0
179,9,1.5970137777553035,2,0.021494213527171138,1
223,20,5.304338957757011,2,0.01291607341471614,1
148,19,1.9247342720718104,1,0.030445165569489195,1
7,0,0.1054885462525365,2,2.580335444894355,0
8,1,0.5938935547778439,1,0.5452754595521012,0
4,0,3.2832685800626056,1,2.5766062943765613,0
31,12,1.4793618289720614,1,0.0968616767914297,1
9,0,0.47207371081114824,2,2.498539697422448,0
4,0,0.7374225766400967,1,1.4590306510140545,0
49,5,17.867090428035972,16,0.11345526953917372,1
189,18,0.5406994826203533,2,0.06688139374183767,1
5,0,3.9283506473088927,3,0.7280152576217259,0
3,1,0.3519864860728268,2,2.8880907818086974,0
27,6,9.402386783264866,11,0.20558581615431154,1
1,0,3.9710664380800953,1,1.6150144323948894,0
9,0,274.0721597021427,8,0.36770855344881104,1
5,0,4.778839875249651,3,2.1427783212504172,0
45,19,1.5858533665737333,2,0.015679812977123515,1
36,9,13.176116103795444,9,0.23709608741905785,1
4,1,1.0141784178513984,2,2.5146622168528587,0
8,1,4.023771466936388,2,2.9227565753520284,0
137,25,7.2324354400230275,2,0.026155914566804953,1
3,1,0.44503904116276516,2,2.0375180667479245,0
29,8,7.28478715829441,6,0.2545923916203343,1
219,27,1.0392694268527818,3,0.020169255349947825,1
31,13,1.0234294556573258,2,0.0773265861486579,1
2,0,1.1803824244438594,1,2.893175657458314,0
27,1,128.37288645350938,12,0.051314464679612905,1
8,0,3.595412970834307,3,2.611101681584072,0
115,6,1.6917586774854716,3,0.04368297749594317,1
1,0,3.086865236501495,2,1.5275925332955782,0
3,1,1.712185445291845,2,1.342239479427767,0
4,0,0.7802413898658999,1,2.4005696497242166,0
9,1,2.942422418405275,2,1.6435802444342682,0
178,8,0.43904733393276707,1,0.06777743503989395,1
9,1,4.319233297876136,3,2.8711332674053915,0
45,6,19.941707067567577,18,0.09352041882785732,1
3,0,0.6888067742476467,1,0.7901816012672906,0
4,0,2.5158257230818446,4,1.6211138049457994,0
1,1,1.7174876152197618,3,0.5982803496027473,0
20,11,6.060557455172292,14,0.14042756371489518,1
1,1,1.9219842932697506,4,2.426018544519483,0
13,5,5.401546624525154,16,0.25974933192950267,1
1,0,1.6718223183615057,2,2.2395320169772046,0
6,0,4.888153502684455,1,2.983342343396571,0
264,10,4.919568629249716,1,0.0236721482196873,1
6,1,3.319220902066016,1,2.6503059929730113,0
148,14,1.7083772435115283,1,0.05896149212644765,1
154,11,1.4719347825852005,2,0.02954881879220895,1
111,26,3.4000767699577983,1,0.028563806378140155,1
4,1,3.8592547802320016,3,2.123025755290159,0
3,0,0.7779301528472267,4,2.9396301986563365,0
39,9,25.450668728467324,16,0.11785964440855005,1
8,1,1.6273842728381138,2,1.019854157170472,0
13,0,287.5071861858023,12,0.4210406636391645,1
125,15,0.6035882138175076,2,0.017435589711334184,1
7,1,0.6905606360536758,3,1.2433725184313769,0
7,1,0.22421864273574182,1,0.7021824165429942,0
146,11,1.0828112072390579,2,0.043611633652975615,1
8,1,3.1809476092091313,4,1.4275969074615067,0
179,15,0.7350528055225155,2,0.09837722714015308,1
14,0,280.1861206631273,4,0.3301338630783853,1
7,1,4.758500101408589,3,2.449227500681923,0
2,1,4.7972731688347805,1,0.7069966698128162,0
33,5,28.531811206046292,14,0.29509218523554626,1
10,5,26.933890305131502,9,0.07545092073738423,1
11,2,210.24493547157817,11,0.4886755937515004,1
136,14,4.373232110036167,3,0.04553614689234725,1
8,0,2.1453139154290173,1,2.231090082225676,0
10,4,8.704448205748637,13,0.12061968599425667,1
87,15,1.117089249759924,1,0.03911503554203264,1
16,10,27.593939294378554,15,0.2731395568716186,1
7,0,0.6236969231642449,2,0.9630711163685242,0
4,0,4.799466493363736,4,1.958479486915301,0
7,1,2.7926915233863046,1,2.342588891977522,0
137,8,1.6998632593152003,1,0.018363622994145096,1
